Type	Checked?	Remedy	Position	Validation error	Text of example
E			2.16.18 example 3	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""start"" w:dirty=""true""/><w:r>  <w:instrText>TOC /l 1-3</w:instrText></w:r><w:fldChar w:type=""separate""/>… "
E			2.16.18 example 3	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""start"" w:dirty=""true""/><w:r>  <w:instrText>TOC /l 1-3</w:instrText></w:r><w:fldChar w:type=""separate""/>… "
E			2.16.18 example 4	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" …<w:fldChar w:type=""separate"" />… "
E			2.16.18 example 5	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""start"" w:fldLock=""true""/>  …<w:fldChar w:type=""separate""/><w:r>  <w:t>field result</w:t></w:r><w:fldChar w:type=""end"" /> "
E			2.16.18 example 5	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""start"" w:fldLock=""true""/>  …<w:fldChar w:type=""separate""/><w:r>  <w:t>field result</w:t></w:r><w:fldChar w:type=""end"" /> "
E			2.16.18 example 5	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""start"" w:fldLock=""true""/>  …<w:fldChar w:type=""separate""/><w:r>  <w:t>field result</w:t></w:r><w:fldChar w:type=""end"" /> "
E			2.16.19 example 1	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""start"">  <w:fldData xml:space=""preserve"">///3645ERKJHE</w:fldData></w:fldChar><w:r>  <w:instrText>PRIVATE</w:instrText></w:r><w:fldChar w:type=""separate"" />… "
E			2.16.19 example 1	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""start"">  <w:fldData xml:space=""preserve"">///3645ERKJHE</w:fldData></w:fldChar><w:r>  <w:instrText>PRIVATE</w:instrText></w:r><w:fldChar w:type=""separate"" />… "
E			2.16.2 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:fldSimple'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":rPr, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":br, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":t, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":delText, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":instrText, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":delInstrText, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":noBreakHyphen, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":softHyphen, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":dayShort, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":monthShort, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":yearShort, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":dayLong, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":monthLong, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":yearLong, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":annotationRef, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":footnoteRef, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":endnoteRef, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":separator, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":continuationSeparator, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":sym, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":pgNum, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":cr, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":tab, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":object, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":pict, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":fldChar, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":ruby, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":footnoteReference, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":endnoteReference, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentReference, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":drawing, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":ptab, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lastRenderedPageBreak}' is expected. ::: "	" <w:r>  <w:fldSimple w:instr=""DATE""> 12/31/2005 </w:fldSimple></w:r> "
E			2.16.25 example 1	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldchar w:type=""begin"" /><w:r>  <w:instrText>FORMCHECKBOX</w:instrText></w:r><w:fldChar w:type=""seperate"" />…<w:fldChar w:type=""end"" /> "
E			2.16.25 example 1	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldchar w:type=""begin"" /><w:r>  <w:instrText>FORMCHECKBOX</w:instrText></w:r><w:fldChar w:type=""seperate"" />…<w:fldChar w:type=""end"" /> "
E			2.16.29 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:ffData'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":fldData, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXml, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":smartTag, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":sdt, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":r, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":proofErr, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":permStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":permEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":ins, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":del, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFrom, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveTo, ""http://schemas.openxmlformats.org/officeDocument/2006/math"":oMathPara, ""http://schemas.openxmlformats.org/officeDocument/2006/math"":oMath, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":fldSimple, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":hyperlink, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":subDoc}' is expected. ::: "	" <w:fldSimple w:instr=""FORMDROPDOWN"">  <w:ffData>    <w:ddList>      <w:default w:val=""1"" />      <w:result w:val=""2"" />      <w:listEntry w:val=""One"" />      <w:listEntry w:val=""Two"" />      <w:listEntry w:val=""Three"" />    </w:ddList>  </w:ffData></w:fldSimple> "
E			2.16.31 example 1	"The element type ""w:fldChar"" must be terminated by the matching end-tag ""</w:fldChar>"". Nested exception: The element type ""w:fldChar"" must be terminated by the matching end-tag ""</w:fldChar>""."	" <w:r>  <w:rPr>    <w:sz w:val=""40""/>  </w:rPr>  <w:fldChar w:type=""begin"">  <w:ffData>    <w:checkBox>      <w:sizeAuto />        <w:checked w:val=""true"" />    </w:checkBox>  </w:ffData></w:r>… "
E			2.16.33 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:type'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":format}' is expected. ::: "	" <w:ffData>  <w:textInput>    <w:maxLength w:val=""4"" />    <w:type w:val=""number"" />  </w:textInput></w:ffData> "
E			2.16.5.32 example 1	Content is not allowed in prolog. Nested exception: Content is not allowed in prolog.	" {IF order >= 100 ""Thanks"" ""The minimum order is 100 units"" } "
E			2.16.6 example 1	cvc-complex-type.3.2.2: Attribute 'w:name' is not allowed to appear in element 'w:bookmarkEnd'. ::: 	" <w:bookmarkStart w:name=""Text1"" … /><w:fldSimple w:instr=""FORMFIELDTEXT"">  <w:ffData>    <w:calcOnExit/>    …  </w:ffData>  <w:r>    <w:t>1</w:t>  </w:r></w:fldSimple><w:bookmarkEnd w:name=""Text1"" … /><w:fldSimple w:instr=""=Text1+10"">  <w:r>    <w:t>11</w:t>  </w:r></w:fldSimple> "
E	Y	"Add ""size"" attribute or ellipsis"	2.16.8 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:checked'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":size, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":sizeAuto}' is expected. ::: "	" <w:ffData>  <w:checkBox>    <w:checked w:val=""true"" />  </w:checkBox></w:ffData> "
E	Y	"subDoc is not a legal child of body. Insert ""w:sdt"" wrapping element around subDoc"	2.17.2.1 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:subDoc'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXml, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":sdt, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":p, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":tbl, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":proofErr, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":permStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":permEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":ins, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":del, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFrom, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveTo, ""http://schemas.openxmlformats.org/officeDocument/2006/math"":oMathPara, ""http://schemas.openxmlformats.org/officeDocument/2006/math"":oMath, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":altChunk, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":sectPr}' is expected. ::: "	" <w:body>  <w:p>    …    <w:r>      <w:t>My Book</w:t>    </w:r>  </w:p>  <w:p>    <w:r>      <w:t>Once upon a time…</w:t>    </w:r>  </w:p>  <w:subDoc r:id=""subDocRel1"" />  <w:subDoc r:id=""subDocRel2"" />  <w:sectPr>    …  </w:sectPr></w:body> "
E	Y	"Change ""dontCompress"" attribute to ""doNotCompress"""	2.18.10 example 1	" cvc-enumeration-valid: Value 'dontCompress' is not facet-valid with respect to enumeration '[doNotCompress, compressPunctuation, compressPunctuationAndJapaneseKana]'. It must be a value from the enumeration. ::: "	" <w:characterSpacingControl w:val=""dontCompress"" /> "
T	Y	Change curly quotes to straight quotes	2.18.103 example 1	Code is using curly quotes: continuing	"<w:rPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:rFonts w:asciiTheme=""majorAscii"" /></w:rPr>"
E	Y	"Change ""realDate"" attribute to ""fullDate"""	2.18.15 example 1	 cvc-complex-type.3.2.2: Attribute 'w:realDate' is not allowed to appear in element 'w:date'. ::: 	" <w:date w:realDate=""01-01-2006T12:00:00Z"">    …</w:date> "
?	Y	"Remove extraneous whitespace in ""w:displaced byCustomXml"" attribute"	2.18.17 example 1	The markup in the document following the root element must be well-formed.	" <w:commentRangeStart w:id=""0"" /><w:commentRangeStart w:id=""1"" w:displaced byCustomXml=""next"""
E	Y	"Change closing ""/w:behavior"" tag on line 11 to ""/w:behaviors"""	2.18.19 example 1	"The element type ""w:behaviors"" must be terminated by the matching end-tag ""</w:behaviors>"". Nested exception: The element type ""w:behaviors"" must be terminated by the matching end-tag ""</w:behaviors>""."	" <w:docPart>  <w:docPartPr>    <w:behaviors>      <w:behavior w:val=""p""/>    </w:behavior>    …  </w:docPartPr>  <w:docPartBody>    <w:p>      <w:r>        <w:t>Sample entry.</w:t>      </w:r>    </w:p>  </w:docPartBody></w:docPart> "
T	Y	"Change opening tag ""w:docPartPr"" on line 23 to closing tag"	2.18.20 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:docPartPr>  <w:category>    <w:gallery w:val=""coverPg"" />    <w:name w:val=""Internal Memo Covers"" />  </w:category>  …<w:docPartPr> "
T			2.18.21 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:docPartPr>  <w:types>    <w:type w:val=""bbPlcHdr"" />  </w:types>  …<w:docPartPr> "
E			2.18.26 example 1	" cvc-enumeration-valid: Value 'endSect' is not facet-valid with respect to enumeration '[sectEnd, docEnd]'. It must be a value from the enumeration. ::: "	" <w:settings>    <w:endnotePr>      <w:pos w:val=""endSect"" />    </w:endnotePr>    …  </w:settings> "
E			2.18.3 example 1	cvc-complex-type.3.2.2: Attribute 'w:vmerge' is not allowed to appear in element 'w:cellMerge'. ::: 	" <w:tc>  <w:tcPr>    <w:cellMerge … w:vmerge=""cont"" />  </w:tcPr>  …</w:tc> "
E			2.18.33 example 1	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" …<w:fldChar w:type=""separate"" />… "
T			2.18.39 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:docPartPr>  …  <w:guid w:val=""{00000000-5BD2-4BC8-9F70-7020E1357FB2}"" />  …<w:docPartPr> "
T			2.18.42 example 1	Code is using curly quotes: continuing	"<w:trPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:trHeight w:hRule=""atLeast"" w:val=""2189"" /></w:trPr>"
T			2.18.51 example 1	Code is using curly quotes: continuing	"<w:lang w:val=""en-CA""     xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" />"
T			2.18.6 example 1	Code is using curly quotes: continuing	"<w:br w:type=""column""    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" />"
E			2.18.7 example 1	cvc-datatype-valid.1.2.1: '01-01-2006T06:30:00Z' is not a valid value for 'dateTime'. ::: 	" <w:sdtPr>  <w:date w:fullDate=""01-01-2006T06:30:00Z"">    <w:calendar w:val=""gregorian""/>  </w:date></w:sdtPr> "
E			2.18.77 example 1	 cvc-complex-type.3.2.2: Attribute 'w:val' is not allowed to appear in element 'w:proofErr'. ::: 	" <w:p>  <w:proofErr w:val=""spellStart""/>  <w:r>    <w:t>erqwt</w:t>  </w:r>  <w:proofErr w:val=""spellEnd""/>  <w:r>    <w:t xml:space=""preserve""> werewr</w:t>  </w:r></w:p> "
T			2.18.78 example 1	Code is using curly quotes: continuing	"<w:ptab w:alignment=""left"" w:relativeTo=""margin""       xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" />"
E			2.18.9 example 1	 cvc-complex-type.3.2.2: Attribute 'chapStyle' is not allowed to appear in element 'w:pgNumType'. ::: 	" <w:pgNumType w:chapSep=""colon"" chapStyle=""1"" /> "
T			2.2.1 example 4	"Element type ""w:background"" must be followed by either attribute specifications, "">"" or ""/>"". Nested exception: Element type ""w:background"" must be followed by either attribute specifications, "">"" or ""/>""."	" <w:background w:color=""943634""w:themeColor=""accent2"" w:themeShade=""BF""/> "
T			2.2.1 example 5	"Element type ""w:background"" must be followed by either attribute specifications, "">"" or ""/>"". Nested exception: Element type ""w:background"" must be followed by either attribute specifications, "">"" or ""/>""."	" <w:background w:color=""95B3D7""w:themeColor=""accent2"" w:themeTint=""99""/> "
E			2.3.1.11 example 10	"The prefix ""W"" for attribute ""W:y"" associated with an element type ""w:framePr"" is not bound. Nested exception: The prefix ""W"" for attribute ""W:y"" associated with an element type ""w:framePr"" is not bound."	" <w:p>     <w:pPr>      <w:framePr w:dropCap=""margin"" w:lines=""3"" w:hSpace=""432"" w:wrap=""around"" w:vAnchor=""text"" w:hAnchor=""page"" W:y=""400"" w:yAlign=""text"" />     </w:pPr>    <w:r>       <w:t>O</w:t>     </w:r>  </w:p> "
E			2.3.1.11 example 13	 cvc-complex-type.3.2.2: Attribute 'w:hspace' is not allowed to appear in element 'w:framePr'. ::: 	" <w:p>    <w:pPr>      <w:framePr w:w=""2419"" w:h=""2189"" w:hRule=""atLeast"" w:hspace=""187"" w:wrap=""around"" w:vanchor=""text"" w:hanchor=""page"" w:x=""1643"" w:y=""73"" />    </w:pPr>    <w:r>      <w:t>Text Frame Content.</w:t>    </w:r>  </w:p> "
E			2.3.1.11 example 6	 cvc-complex-type.3.2.2: Attribute 'w:hspace' is not allowed to appear in element 'w:framePr'. ::: 	" <w:p>    <w:pPr>      <w:framePr w:w=""2419"" w:h=""2189"" w:hRule=""atLeast"" w:hspace=""187"" w:wrap=""around"" w:vanchor=""text"" w:hanchor=""page"" w:x=""1643"" w:y=""73"" />    </w:pPr>    <w:r>      <w:t>Text Frame Content.</w:t>    </w:r>  </w:p> "
T			2.3.1.17 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
